,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
352,meulaboh,100,ID,1581116328,80,4.14,96.13,82.2,11.63
353,bestobe,100,KZ,1581116186,82,52.5,73.1,36.03,18.01
354,ayna,40,PE,1581116328,49,-12.65,-73.92,71.6,8.05
355,carutapera,100,BR,1581116328,78,-1.2,-46.02,81.43,18.66
356,derzhavinsk,100,KZ,1581116329,87,51.1,66.32,35.4,20.13
357,saint-louis,0,SN,1581116329,18,16.33,-15.0,80.6,2.24
358,aripuana,100,BR,1581116329,99,-9.17,-60.63,72.28,3.47
359,bangkal,98,PH,1581116329,85,6.07,121.07,79.63,3.56
360,majene,100,ID,1581116147,78,-3.54,118.97,77.63,3.4
361,maningrida,100,AU,1581116330,80,-12.07,134.27,82.4,11.95
362,husavik,75,IS,1581116330,61,66.04,-17.34,46.4,18.34
363,kofele,43,ET,1581116330,77,7.07,38.78,50.77,6.46
364,walvis bay,0,NA,1581116331,93,-22.96,14.51,64.0,6.93
365,tucumcari,1,US,1581116331,43,35.17,-103.72,50.0,6.93
366,motatei,75,RO,1581116331,79,44.08,23.2,30.0,14.99
367,okha,100,RU,1581116192,90,53.57,142.95,-0.81,14.7
368,beloha,3,MG,1581116194,99,-25.17,45.05,65.61,0.6
369,sibolga,100,ID,1581116332,96,1.74,98.78,69.93,2.57
370,harsin,75,IR,1581116332,43,34.27,47.59,51.8,9.17
371,ambilobe,6,MG,1581116332,90,-13.2,49.05,73.47,3.27
372,ban tak,0,TH,1581116332,91,17.04,99.08,73.0,3.49
373,carolina,75,PR,1581116333,69,18.38,-65.96,82.4,11.41
374,kalghatgi,4,IN,1581116333,92,15.18,74.97,55.63,1.03
375,amazar,100,RU,1581116333,96,53.86,120.88,-10.14,2.01
376,oranjestad,20,AW,1581116299,69,12.52,-70.03,82.4,21.92
377,wanning,100,CN,1581116333,86,18.8,110.4,69.12,10.58
378,atagay,100,RU,1581116334,97,55.1,99.39,22.73,2.98
379,coquimbo,0,CL,1581116334,72,-29.95,-71.34,66.2,13.87
380,gwadar,0,PK,1581116334,66,25.12,62.33,70.63,8.08
381,visby,57,SE,1581116334,86,57.64,18.3,39.99,17.22
382,venosa,5,IT,1581116335,86,40.96,15.81,46.99,8.05
